RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
394911,414,"New Philadelphia, OH",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,12,23,26,21,38,35,21,12,31,40,39,39,41,43,39,45,39,41,41,40,36,36,37,32,38,40,36,38,35,37,37,35,35,32,37,35,31,34,34
753887,417,"Hermiston, OR",msa,OR,47,44,43,47,42,44,43,42,43,38,36,35,38,41,41,38,46,41,43,43,46,42,49,48,52,43,41,48,44,48,44,55,54,53,53,54,57,47,50,49,48,48,54,48,51,49,45,44,49,42,40,45,42,43,40,36,38,41,42,33,32,31,37,35,32,34,39,37
394964,419,"Parkersburg, WV",msa,WV,35,25,29,33,28,34,27,34,34,28,28,25,23,18,29,29,30,23,27,29,22,27,29,34,34,23,34,37,31,26,37,32,38,33,40,29,15,30,43,42,42,48,50,41,40,45,40,35,42,39,34,38,40,39,41,39,37,37,37,36,33,31,39,31,35,35,37,38
394641,422,"Grants Pass, OR",msa,OR,,,,,,,,,,,,,,,,,,,,,,,,,,,39,35,19,37,40,41,44,45,44,45,46,44,42,45,41,41,42,41,42,42,37,38,40,37,36,38,37,37,32,34,35,32,34,32,33,31,32,34,33,35,34,32
395248,426,"Zanesville, OH",msa,OH,,,23,19,22,14,17,13,18,17,14,15,8,15,14,14,16,16,17,12,10,16,23,28,11,26,23,33,27,36,34,28,30,33,35,15,12,30,37,32,38,39,35,40,36,35,38,38,40,32,29,32,35,36,31,33,35,33,30,27,32,31,31,30,31,31,34,32
394907,427,"New Castle, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,47,44,42,44,45,40,46,45,44,44,46,45,44,44,43,45,45,37,46,45,44,43,42,39,39,39,42,39,35,38,35,33,37,36,37,41,43,39
394925,428,"Oak Harbor, WA",msa,WA,34,34,36,37,33,37,38,36,36,36,36,33,37,34,35,35,34,36,36,37,38,37,38,39,44,37,35,38,37,37,34,36,37,37,35,36,35,34,29,31,30,32,31,31,32,32,32,32,35,31,30,29,29,30,31,30,31,31,31,28,31,31,29,33,30,30,30,30
394644,433,"Great Falls, MT",msa,MT,36,40,36,33,40,40,39,38,36,36,40,32,34,44,70,12,34,36,37,31,39,33,42,32,39,35,34,40,42,42,39,38,20,38,43,39,44,41,40,38,41,42,41,39,42,41,40,38,43,35,38,34,37,38,41,35,36,37,37,37,33,32,37,36,36,34,30,29
394704,436,"Indiana, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,39,41,41,43,40,38
394859,437,"Midland, MI",msa,MI,32,29,30,37,37,38,36,38,36,33,33,36,36,35,31,35,37,39,37,38,36,35,37,35,38,32,34,39,,33,39,38,38,40,42,41,38,40,42,35,30,28,40,40,36,35,31,34,37,34,32,32,32,35,34,33,33,32,30,32,32,32,29,32,29,31,35,31
